Latitude,Longitude,Positive,Negative,Mixed,Neutral,Count,Sentiment
8,78,0.0791756883263588,0.20786793529987335,0.0016864794306457043,0.7112698554992676,1,NEUTRAL
8,79,0.0791756883263588,0.20786793529987335,0.0016864794306457043,0.7112698554992676,1,NEUTRAL
8,80,0.27141021894446266,0.18736704160498144,0.027060451466468294,0.5141622858742873,12,NEUTRAL
8,81,0.27141021894446266,0.18736704160498144,0.027060451466468294,0.5141622858742873,12,NEUTRAL
8,82,0.06921181788202375,0.1509746488183737,0.0006352499040076509,0.7791782855987549,5,NEUTRAL
8,93,0.0016131989774294197,0.7862344413995743,2.829812092386419e-05,0.2121240884065628,10,NEGATIVE
8,94,0.0016131989774294197,0.7862344413995743,2.829812092386419e-05,0.2121240884065628,10,NEGATIVE
8,97,0.006497357250838023,0.22911995356359208,0.014982696072908967,0.7493999966083922,18,NEUTRAL
9,76,0.3544255346059799,0.07228726777248085,0.3043120831644046,0.2689751423895359,2,POSITIVE
9,77,0.3544255346059799,0.07228726777248085,0.3043120831644046,0.2689751423895359,2,POSITIVE
9,78,0.011210518113027016,0.2632743666569392,0.0014357144367143821,0.724079449971517,3,NEUTRAL
10,76,0.08300792445224943,0.22030532083808793,0.05236961045345652,0.6443171491380781,40,NEUTRAL
10,77,0.08300792445224943,0.22030532083808793,0.05236961045345652,0.6443171491380781,40,NEUTRAL
10,78,0.1546704019594472,0.03814883686136454,0.022110550516481454,0.7850702002644538,20,NEUTRAL
10,79,0.1546704019594472,0.03814883686136454,0.022110550516481454,0.7850702002644538,20,NEUTRAL
11,75,0.04380038282463581,0.2635070059861226,0.006213887332375056,0.6864787101406943,22,NEUTRAL
11,76,0.07074724353478815,0.20694112610362936,0.011348717421913079,0.7109628995036473,40,NEUTRAL
11,77,0.12093289377116889,0.13800091000739484,0.02189339643149992,0.7191727901896229,40,NEUTRAL
11,78,0.6418582797050476,0.03455355908081401,0.000690964370733127,0.3228972166776657,5,POSITIVE
11,79,0.5175990462303162,0.04342123766158087,0.00323199372238984,0.43574773768583935,3,POSITIVE
11,80,0.7334784269332886,0.013302063933224417,0.003877883895256673,0.24934162944555283,2,POSITIVE
12,75,0.03315236916144689,0.39538920888056356,0.04368166191216005,0.5277767404913902,6,NEUTRAL
