Latitude,Longitude,Positive,Negative,Mixed,Neutral,Count,Sentiment
25,-99,0.07960493769496679,0.45219452679157257,0.11649830359965563,0.3517022877931595,2,NEGATIVE
25,-82,0.07184857241996465,0.3092890686062414,0.05056016722063207,0.5683021914446726,28,NEUTRAL
25,-81,0.14927849630740556,0.32783719660735433,0.0036069454748609464,0.5192773694341833,11,NEUTRAL
25,-80,0.1172542526120586,0.4685648758812541,0.002520655234288175,0.41166023910045624,7,NEGATIVE
25,-77,0.07994692841588757,0.17321900991533412,0.018925831481530025,0.7279082379508309,82,NEUTRAL
26,-99,0.35682331522305805,0.36848131466346484,0.12381620394686858,0.15087917524700364,3,NEGATIVE
26,-98,0.24387588201498148,0.14244853654490724,0.02943845576901367,0.5842371247708797,40,NEUTRAL
26,-97,0.12656224382226355,0.09873950651453925,0.019191377488414218,0.7555068713496439,40,NEUTRAL
26,-82,0.1488788514136104,0.280670913470658,0.016445896554819227,0.5540043251552561,40,NEUTRAL
26,-81,0.03588332536892267,0.2378893477241945,0.009660099580605675,0.7165672210510821,40,NEUTRAL
26,-80,0.06569271196650978,0.21094123058116188,0.032195036822330866,0.6911710167712555,41,NEUTRAL
27,-98,0.04096708579787186,0.6106036969593593,0.054073074721990064,0.2943561941385269,35,NEGATIVE
27,-97,0.08765907674872626,0.4356098308538397,0.02248483887342445,0.45424626146753627,6,NEUTRAL
27,-83,0.03174006118060788,0.19379643587599277,0.003137937202586727,0.7713255872949958,40,NEUTRAL
27,-82,0.04012114585493691,0.1943252806137025,0.01969684532705287,0.745856742374599,40,NEUTRAL
27,-81,0.06068810615252005,0.20641004154895198,0.016286981338282658,0.7166148573160172,40,NEUTRAL
27,-80,0.08541390224709175,0.16259238644779545,0.0020527127415903125,0.7499410005868412,40,NEUTRAL
27,-79,0.08331933644219973,0.2817338177429319,0.034033601403953305,0.6009132443630899,77,NEUTRAL
29,-99,0.10002387294911647,0.3265583922467028,0.011707865114190748,0.5617098630272916,35,NEUTRAL
29,-98,0.09532649656150328,0.3393857750235601,0.017015233289661726,0.5482724828888541,23,NEUTRAL
29,-97,0.11877705654894401,0.16008014956241823,0.004635145589210359,0.7165076592138835,35,NEUTRAL
29,-96,0.13618549069294453,0.3418320792155679,0.006520368088145419,0.5154620644382455,22,NEUTRAL
29,-95,0.06455339281383203,0.17077627125399886,0.015005388655856678,0.7496649472974241,40,NEUTRAL
29,-91,0.13353128731250763,0.5349889993667603,0.05897725373506546,0.27250251173973083,1,NEGATIVE
29,-90,0.05184893922414631,0.24835367668420077,0.02561514678200183,0.6741822302341461,5,NEUTRAL
29,-83,0.11631809061727835,0.22795993258550878,0.10258696995679202,0.5531350188539363,40,NEUTRAL
29,-82,0.1646402167127235,0.25430533099024616,0.06170292357680864,0.519351513980655,40,NEUTRAL
29,-81,0.09370178333192598,0.43687547677927796,0.014924775201507146,0.4544979372760281,40,NEUTRAL
29,-80,0.05464738593145739,0.44619255590466006,0.036334442532916,0.46282562309255204,60,NEUTRAL
30,-99,0.19196873553592014,0.3724422346040228,0.042594951346552536,0.39299409503582866,40,NEUTRAL
30,-98,0.14477510729047935,0.26406664632304455,0.0027391799339511634,0.5884190448559821,40,NEUTRAL
30,-97,0.14623071819078176,0.2646247024000331,0.0028895176062633254,0.5862550389952957,40,NEUTRAL
30,-96,0.20938140072976238,0.28902910629694817,0.009403706579098526,0.49218577592400836,40,NEUTRAL
30,-95,0.21100472985417582,0.2681469863600796,0.009395731822507969,0.5114525433513336,40,NEUTRAL
30,-94,0.07120661327498964,0.14022486823978397,0.02843095334786767,0.7601375671103596,40,NEUTRAL
30,-93,0.10470351859548828,0.2883811246845653,0.01569852843966828,0.5912168302689679,40,NEUTRAL
30,-92,0.22866155877127312,0.14765006874913525,0.030901906464646346,0.5927864666096866,40,NEUTRAL
30,-91,0.2947041851992253,0.13089392110887274,0.0064860852570291175,0.5679158231418114,40,NEUTRAL
30,-90,0.21596288375149014,0.24866925739224827,0.015133957289413047,0.52023390585382,40,NEUTRAL
30,-89,0.07519091247522738,0.28867577212513423,0.038006373819166585,0.5981269352225353,40,NEUTRAL
30,-88,0.1940294037340209,0.11490972441554602,0.083478597798603,0.6075822522065469,14,NEUTRAL
30,-87,0.14871335409698078,0.24574314833298558,0.021357650091454163,0.5841858521103859,40,NEUTRAL
30,-86,0.02413554097292945,0.09170811051444616,0.004098175866602105,0.880058117955923,40,NEUTRAL
30,-85,0.08526851831848034,0.20723604395752773,0.024920277848400472,0.6825751608237625,40,NEUTRAL
30,-84,0.12149544690037146,0.270449288488453,0.029615861591037174,0.5784394073067233,40,NEUTRAL
30,-83,0.10723481571330921,0.1639668833999167,0.009105700850494714,0.7196925871772691,40,NEUTRAL
30,-82,0.12236355856002774,0.2566705533565255,0.004504184245047327,0.6164616930764169,40,NEUTRAL
30,-81,0.17659440642570856,0.2541952653679827,0.046114456437691735,0.5230958698833785,101,NEUTRAL
31,-99,0.31708848888852764,0.22984762436577252,0.010121987109284549,0.44294190992202076,7,NEUTRAL
31,-98,0.18287628254911398,0.2150202910961525,0.004505321004489815,0.5975981185212731,40,NEUTRAL
31,-97,0.1095137293857988,0.17318218038781197,0.011668411411392299,0.7056356845423579,40,NEUTRAL
31,-96,0.003510483860736713,0.8973061653785408,0.00023937541267287087,0.09894397668540478,40,NEGATIVE
31,-95,0.14909466872995836,0.22718981476828048,0.062489685274351815,0.5612258381093852,40,NEUTRAL
31,-94,0.21514263382414356,0.24457812535603388,0.0027605184818989634,0.5375187003698486,13,NEUTRAL
31,-93,0.15767715513133085,0.14801579785107138,0.007824418759262186,0.6864826255597365,39,NEUTRAL
31,-92,0.13728962021996266,0.21992190053224475,0.011854598291608908,0.6309338887338527,40,NEUTRAL
31,-91,0.232011896891088,0.25515792765466305,0.03577696533502336,0.4770532096445095,34,NEUTRAL
31,-90,0.1785713106648819,0.27977937056372565,0.06893807027730266,0.4727112410501355,21,NEUTRAL
31,-89,0.07190764647748438,0.24976728132096468,0.03267421865025426,0.6456508707255125,40,NEUTRAL
31,-88,0.054438648415816714,0.2408986658869253,0.011510227146288798,0.6931524674408138,40,NEUTRAL
31,-87,0.15449919595531272,0.24286158145916875,0.014541273401570807,0.5880979442912521,33,NEUTRAL
31,-86,0.048408689798088746,0.46538128129323014,0.005106903061687262,0.48110311685595664,40,NEUTRAL
31,-85,0.050100656430004165,0.4541035641275812,0.005122535356213121,0.490673234150745,40,NEUTRAL
31,-84,0.1637029051612205,0.3808440991028635,0.038371149708980645,0.41708186113177553,38,NEUTRAL
31,-83,0.1860292005406406,0.22125604099803753,0.017772652813898906,0.5749421138435793,39,NEUTRAL
31,-82,0.08085032934031915,0.30163005020513084,0.009399457404356326,0.608120159804821,40,NEUTRAL
31,-81,0.13955577669586183,0.24990499636628014,0.029145683131701603,0.5813935447309098,545,NEUTRAL
33,-99,0.6294341683387756,0.20901137590408325,0.027566036209464073,0.1339883953332901,1,POSITIVE
33,-98,0.09656559110590024,0.27499976235667417,0.008433069277293726,0.6200015765840362,40,NEUTRAL
33,-97,0.27940256051078904,0.17142914800679138,0.012573326595486378,0.5365949648483366,40,NEUTRAL
33,-96,0.18780196217121556,0.24996242216184328,0.03884575838280853,0.5233898629725445,40,NEUTRAL
